page_id,block,writer_id,content_id,condition,purpose
COPY-G01-01,書き写し,G01,U0704,copy,字形供給
COPY-G01-02,書き写し,G01,U0722,copy,字形供給
COPY-G01-03,書き写し,G01,U0055,copy,字形供給
COPY-G01-04,書き写し,G01,U0258,copy,字形供給
COPY-G01-05,書き写し,G01,U0506,copy,字形供給
COPY-G01-06,書き写し,G01,U0100,copy,字形供給
COPY-G01-07,書き写し,G01,U0089,copy,字形供給
COPY-G01-08,書き写し,G01,U0354,copy,字形供給
COPY-G01-09,書き写し,G01,U0195,copy,字形供給
COPY-G01-10,書き写し,G01,U0795,copy,字形供給
COPY-G01-11,書き写し,G01,U0437,copy,字形供給
COPY-G01-12,書き写し,G01,U0700,copy,字形供給
COPY-G01-13,書き写し,G01,U0855,copy,字形供給
COPY-G01-14,書き写し,G01,U0548,copy,字形供給
COPY-G01-15,書き写し,G01,U0772,copy,字形供給
COPY-G02-01,書き写し,G02,U0875,copy,字形供給
COPY-G02-02,書き写し,G02,U0427,copy,字形供給
COPY-G02-03,書き写し,G02,U0473,copy,字形供給
COPY-G02-04,書き写し,G02,U0661,copy,字形供給
COPY-G02-05,書き写し,G02,U0331,copy,字形供給
COPY-G02-06,書き写し,G02,U0759,copy,字形供給
COPY-G02-07,書き写し,G02,U0094,copy,字形供給
COPY-G02-08,書き写し,G02,U0079,copy,字形供給
COPY-G02-09,書き写し,G02,U0480,copy,字形供給
COPY-G02-10,書き写し,G02,U0549,copy,字形供給
COPY-G02-11,書き写し,G02,U0499,copy,字形供給
COPY-G02-12,書き写し,G02,U0302,copy,字形供給
COPY-G02-13,書き写し,G02,U0448,copy,字形供給
COPY-G02-14,書き写し,G02,U0246,copy,字形供給
COPY-G02-15,書き写し,G02,U0399,copy,字形供給
COPY-G03-01,書き写し,G03,U0239,copy,字形供給
COPY-G03-02,書き写し,G03,U0784,copy,字形供給
COPY-G03-03,書き写し,G03,U0143,copy,字形供給
COPY-G03-04,書き写し,G03,U0552,copy,字形供給
COPY-G03-05,書き写し,G03,U0138,copy,字形供給
COPY-G03-06,書き写し,G03,U0750,copy,字形供給
COPY-G03-07,書き写し,G03,U0049,copy,字形供給
COPY-G03-08,書き写し,G03,U0332,copy,字形供給
COPY-G03-09,書き写し,G03,U0306,copy,字形供給
